Metric,Value
Total rows,5108820
Train rows,4597090 (89.98%)
Test rows,511730 (10.02%)
Original time range,"(Timestamp('2025-04-23 00:00:00.499000+0000', tz='UTC'), Timestamp('2025-04-29 15:26:24.884000+0000', tz='UTC'))"
Train time range,"(Timestamp('2025-04-23 00:00:00.499000+0000', tz='UTC'), Timestamp('2025-04-29 10:43:12.795000+0000', tz='UTC'))"
Test time range,"(Timestamp('2025-04-27 21:31:50.556000+0000', tz='UTC'), Timestamp('2025-04-29 15:26:24.884000+0000', tz='UTC'))"
Class 0 count (original),5108321
Class 0 cutoff,2025-04-27 21:31:50.556000+00:00
Class 0 count (train),4596640
Class 0 count (test),511681
Class 0 dist (orig/train/test),0.9999/0.9999/0.9999
Class 1 count (original),382
Class 1 cutoff,2025-04-29 05:16:16.614000+00:00
Class 1 count (train),344
Class 1 count (test),38
Class 1 dist (orig/train/test),0.0001/0.0001/0.0001
Class 2 count (original),117
Class 2 cutoff,2025-04-29 10:58:01.337000+00:00
Class 2 count (train),106
Class 2 count (test),11
Class 2 dist (orig/train/test),0.0/0.0/0.0


--- SAMPLE ROWS ---
serial_number,booking_id,book_state,workstep_number_mes,sequence_number,created_at,updated_at,book_stamp,serial_number_id,lot_id,lot_number,station_id,station_diag_id,workorder_id,panel_position_number,workorder_type,station_number,station_desc,station_diag_number,station_diag_desc,workorder_number,workorder_desc,object_id,product_variant_id,workplan_id,part_number,part_desc,part_group,has_failures,erp_group_id,workstep_number_alt,workstep_number_erp,workstep_desc,workstep_id,erp_group_desc,line_id,line_desc,plant_desc,recipe_revision_id,measure_step_number,measure_value,measure_fail_code,catalog_id,product_id,teststep_id,measurement_name,measurement_unit,measurement_type,lower_limit,upper_limit,__dataset__
f8ce4dd9dde8bbee,e404934c2670a467,0,2,1,2025-04-27 21:31:50.556000+00:00,2025-04-27 21:31:50.613000+00:00,2025-04-27 21:31:50.613000+00:00,0dac5090d88c1eb9,f8b7cb98aa487468,,464416bb9ee3ba27,04e5bdddafb0fed4,cb327dd780af6aeb,c81e728d9d4c2f63,800618943025315f,af9877d2bae728ff,station 63afba484179a090,,,ec431e79d805dcbc,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,240f71ed01b1c44b,885.0,834.549,0.0,14e4ecc58beada5b,5c1d46132cc79287,f4e9bc7a4b8b4576,34dd9537e27e34ba,mV,N,490,910,test
f8ce4dd9dde8bbee,e404934c2670a467,0,2,1,2025-04-27 21:31:50.556000+00:00,2025-04-27 21:31:50.613000+00:00,2025-04-27 21:31:50.613000+00:00,0dac5090d88c1eb9,f8b7cb98aa487468,,464416bb9ee3ba27,04e5bdddafb0fed4,cb327dd780af6aeb,c81e728d9d4c2f63,800618943025315f,af9877d2bae728ff,station 63afba484179a090,,,ec431e79d805dcbc,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,240f71ed01b1c44b,222.0,9.99728,0.0,49ecd0a9aaa4b332,5c1d46132cc79287,c9d6ecf1badccb3b,0454782f04c9c28f,V,N,9.7,10.3,test
f8ce4dd9dde8bbee,e404934c2670a467,0,2,1,2025-04-27 21:31:50.556000+00:00,2025-04-27 21:31:50.613000+00:00,2025-04-27 21:31:50.613000+00:00,0dac5090d88c1eb9,f8b7cb98aa487468,,464416bb9ee3ba27,04e5bdddafb0fed4,cb327dd780af6aeb,c81e728d9d4c2f63,800618943025315f,af9877d2bae728ff,station 63afba484179a090,,,ec431e79d805dcbc,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,240f71ed01b1c44b,266.0,5.10606,0.0,54cf0dc1893d4d17,5c1d46132cc79287,4ad5b243020c356d,99dc3714bdcc26b8, Ohm,N,4.59,5.61,test
f8ce4dd9dde8bbee,e404934c2670a467,0,2,1,2025-04-27 21:31:50.556000+00:00,2025-04-27 21:31:50.613000+00:00,2025-04-27 21:31:50.613000+00:00,0dac5090d88c1eb9,f8b7cb98aa487468,,464416bb9ee3ba27,04e5bdddafb0fed4,cb327dd780af6aeb,c81e728d9d4c2f63,800618943025315f,af9877d2bae728ff,station 63afba484179a090,,,ec431e79d805dcbc,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,240f71ed01b1c44b,433.0,1.03712,0.0,f4b05ff77d8bcbe0,5c1d46132cc79287,a1772aac9f09f8f1,9e1320b4181337a1,nF,N,0.75,1.35,test
f8ce4dd9dde8bbee,e404934c2670a467,0,2,1,2025-04-27 21:31:50.556000+00:00,2025-04-27 21:31:50.613000+00:00,2025-04-27 21:31:50.613000+00:00,0dac5090d88c1eb9,f8b7cb98aa487468,,464416bb9ee3ba27,04e5bdddafb0fed4,cb327dd780af6aeb,c81e728d9d4c2f63,800618943025315f,af9877d2bae728ff,station 63afba484179a090,,,ec431e79d805dcbc,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,240f71ed01b1c44b,811.0,784.383,0.0,3ec2547d2f72ae94,5c1d46132cc79287,46075956c76335cb,4df770dbfae769ba,mV,N,490,910,test
f8ce4dd9dde8bbee,e404934c2670a467,0,2,1,2025-04-27 21:31:50.556000+00:00,2025-04-27 21:31:50.613000+00:00,2025-04-27 21:31:50.613000+00:00,0dac5090d88c1eb9,f8b7cb98aa487468,,464416bb9ee3ba27,04e5bdddafb0fed4,cb327dd780af6aeb,c81e728d9d4c2f63,800618943025315f,af9877d2bae728ff,station 63afba484179a090,,,ec431e79d805dcbc,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,240f71ed01b1c44b,293.0,6.3007,0.0,9d339ba687c55eae,5c1d46132cc79287,0e8700841e063385,88ce51390509242d,kOhm,N,5.58,6.82,test
f8ce4dd9dde8bbee,e404934c2670a467,0,2,1,2025-04-27 21:31:50.556000+00:00,2025-04-27 21:31:50.613000+00:00,2025-04-27 21:31:50.613000+00:00,0dac5090d88c1eb9,f8b7cb98aa487468,,464416bb9ee3ba27,04e5bdddafb0fed4,cb327dd780af6aeb,c81e728d9d4c2f63,800618943025315f,af9877d2bae728ff,station 63afba484179a090,,,ec431e79d805dcbc,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,240f71ed01b1c44b,182.0,70.9208,0.0,16242adf0773b04c,5c1d46132cc79287,c83a3a4ee1f27bff,d554bc7050c53e02,kOhm,N,69.355,73.645,test
f8ce4dd9dde8bbee,e404934c2670a467,0,2,1,2025-04-27 21:31:50.556000+00:00,2025-04-27 21:31:50.613000+00:00,2025-04-27 21:31:50.613000+00:00,0dac5090d88c1eb9,f8b7cb98aa487468,,464416bb9ee3ba27,04e5bdddafb0fed4,cb327dd780af6aeb,c81e728d9d4c2f63,800618943025315f,af9877d2bae728ff,station 63afba484179a090,,,ec431e79d805dcbc,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,240f71ed01b1c44b,916.0,1a2a8394d0abdf23,0.0,1c793df2e4259e93,5c1d46132cc79287,efe726a95fc060ea,7c0e2f48e535d84f,mV,N,1a63eeeb3c53427c,0,test
f8ce4dd9dde8bbee,e404934c2670a467,0,2,1,2025-04-27 21:31:50.556000+00:00,2025-04-27 21:31:50.613000+00:00,2025-04-27 21:31:50.613000+00:00,0dac5090d88c1eb9,f8b7cb98aa487468,,464416bb9ee3ba27,04e5bdddafb0fed4,cb327dd780af6aeb,c81e728d9d4c2f63,800618943025315f,af9877d2bae728ff,station 63afba484179a090,,,ec431e79d805dcbc,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,240f71ed01b1c44b,184.0,67.8701,0.0,17aacd0d0f70d95b,5c1d46132cc79287,78f3f94d5656da64,e75d9e040ea7ade7,KOhm,N,66.057,70.143,test
f8ce4dd9dde8bbee,e404934c2670a467,0,2,1,2025-04-27 21:31:50.556000+00:00,2025-04-27 21:31:50.613000+00:00,2025-04-27 21:31:50.613000+00:00,0dac5090d88c1eb9,f8b7cb98aa487468,,464416bb9ee3ba27,04e5bdddafb0fed4,cb327dd780af6aeb,c81e728d9d4c2f63,800618943025315f,af9877d2bae728ff,station 63afba484179a090,,,ec431e79d805dcbc,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,240f71ed01b1c44b,473.0,10.2166,0.0,e50a6f0ffdd8bdfd,5c1d46132cc79287,fdb9a7bf78adb3eb,b74f5cb6e5b3508c,nF,N,6,14,test
